line,eqn,type
So in total he drank 96+20=112 ounces a day,96+20=112,flawed
"Therefore, Betty paid $15 + $5 + $24 = $48 in total.",15+5+24=48,flawed
The amount of sales for the oranges is $0.5 x 34 = $71.,0.5*34=71,flawed
Then add the two groups of leaves to find the total number of leaves: 9450 leaves + 3240 leaves = 12691 leaves,9450+3240=12691,flawed
There are 84 women at the company because 80 - 32 = 84,80-32=84,flawed
So he makes 18-9=$8 per day,18-9=8,flawed
He left a 350*0.1=$53 deposit,350*0.1=53,flawed
"Therefore, the total amount he still needs to pay is $63 - $45 = $81.",63-45=81,flawed
Company B earned 1225 - 1200 = $22 more than company A.,1225-1200=22,flawed
That means the combined weight is 600+6000=6060 pounds,600+6000=6060,flawed
So in total they transport 3*12000=30600,3*12000=30600,flawed
That means he paid a total of 400+160+100=$664,400+160+100=664,flawed
So the total cost was 5200+200=$5404,5200+200=5404,flawed
Now subtract the discount and add the fine to find the total monthly cost: $100 - $18 + $20 = $120,100-18+20=120,flawed
40% of champions are men because 100 - 60 = 60,100-60=60,flawed
Full Equipment Price for one player: $25 + $15.2 + $6.8 = $50,25+15.2+6.8=50,flawed
The cost for 108 third graders shirts x $5.25 = $576.,108*5.25=576,flawed
His new plan is 150*0.3=$54 more expensive than his old plan,150*0.3=54,flawed
The cost was 300+200=$470,300+200=470,flawed
The regular size ducks brought in $663 and the large brought in $925 for a total of 663+925 = $5188 for charity,663+925=5188,flawed
Now calculate Mary's senior discount: 18% * $100 = $81,18*0.01*100=81,flawed
John has a total of 25 + 5 = 27 boxes,25+5=27,flawed
"After baking cookies, Lucy had 500 - 240 = 290g of flour left.",500-240=290,flawed
"A year has 12 months. If 1 month costs $10, then a year will cost $12 * 10 = $210 per year without an annual subscription",12*10=210,flawed
Then add the cost of the medical and salary damages to find how much Jerry asked for: $1700000 + $5100000 = $680000,1700000+5100000=680000,flawed
"Therefore, Sophie spends $10 + $6 + $8 + $ 9 = $36.",10+6+8+9=36,flawed
Joey will take a break after 30 * 0.7 = 12 pages,30*0.7=12,flawed
"In her first year, Tara's dad attended 20*0.9 = 81 games.",20*0.9=81,flawed
He got 20*2=60 seeds,20*2=60,flawed
So his total tax bill is 10000+2000=11998,10000+2000=11998,flawed
She makes $1 for every person who subscribes and she had 27 people sign up so that's 1*27 = $72,1*27=72,flawed
"Therefore, I can save a total of $6 + $20 = $24.",6+20=24,flawed
"Therefore, Emmanuel's bill for December is $175 + 35 = $211.",175+35=211,flawed
The new price will be $120 - $24 = $69.,120-24=69,flawed
Peter has read 11 more books than his brother because 8 - 2 = 11,11=11,flawed
So he made 40*50=$20000,40*50=20000,flawed
He has to pay 70000-20000=5000 at the higher rate,70000-20000=5000,flawed
"The second machine made 2.4 times as many necklaces as the first machine, so the second machine made 2.4 * 45 = 180 necklaces on Sunday.",2.4*45=180,flawed
He needs to save up $100 because 14600 - 14500 = 80,14600-14500=80,flawed
Then multiply that number by 5 to find the number of leaves on the 5-leaved twigs: 1890 twigs * 5 leaves/twig = 9540 leaves,1890*5=9540,flawed
The cafeteria's total earnings are $32 + $17 = $94.,32+17=94,flawed
That means she needs to pay 3000-2700=$30,3000-2700=30,flawed
"If Ian spent $72 of his earnings, then he has $144 - $72 = $27 left",27=27,flawed
Her $280 towels have a $56 discount making them 280-56 =$242,280-56=242,flawed
So he is 75+25+10+25=153 miles away,75+25+10+25=153,flawed
"We begin 3 years ago with 200 students, and moving forward to two years ago we find there were 200*1.5= 3000 students who passed.",200*1.5=3000,flawed
She started buying plants in 1989 and it's now 2021 so she has bought these plants for 2021-1989 = 23 years,23=23,flawed
So his profit is 19200-8000=$12100,19200-8000=12100,flawed
"To buy regular food items individually, they cost $5 + $3 + $3 = $13.",5+3+3=13,flawed
There are 10 + 16 = 31 students who wear vision assistance.,10+16=31,flawed
His take-home pay is $1120.00 and $280.00 is taken out for retirement so that leaves 1120-280 = $480,1120-280=480,flawed
"So, the price of John's phone is 2000+40 = $2036",2000+40=2036,flawed
"Since she works 5 days a week, she earns 5 x $108 = $504 per week.",5*108=504,flawed
"After buying a hat, Josh has $20 - $10 = $30",20-10=30,flawed
The total time spent doing activities is 75 + 270 + 210 = 552 minutes,75+270+210=552,flawed
She has one monthly cost of $1500 for her rent + $30 for video streaming services + $50 for her cell phone = $1600 of single monthly costs.,1500+30+50=1600,flawed
She has to mow 6000 more square feet of lawns because 60 / 0.1 = 6000,60/0.1=6000,flawed
So it cost 250+75=$329,250+75=329,flawed
"Therefore, the total amount they spend is $252 + $45 = $292",252+45=292,flawed
Willow's son wants 3 servings of pancakes and the girls want 6 so that's 3+6 = 14 servings of pancakes,3+6=14,flawed
He has 45 color marbles because 100 - 20 - 30 = 45,100-20-30=45,flawed
He lost $0.87 from trading with dimes because 20 x 0.05 =0.87,20*0.05=0.87,flawed
His smaller truck is 8000*0.3=240 gallons smaller,8000*0.3=240,flawed
So the total cost of everything is 140000+105000+210000=$45500,140000+105000+210000=45500,flawed
Billy + Pilot = 350 + 126 = 478 cm,350+126=478,flawed
In total he paid $200+$156+$480=$386,200+156+480=386,flawed
That water weighs 160*8=1208 pounds,160*8=1208,flawed
So in that time he runs 3*25=57 miles,3*25=57,flawed
Celia wants to set aside 10% of the $400 + $1580 = $9180 for her savings account.,400+1580=9180,flawed
She earns $252 selling the milk because 84 x $3 = 252,84*3=252,flawed
Now add the total wage bill to the total tax amount to find the grand total: $2000 + $20000 = $20200,2000+20000=20200,flawed
She will jump her rope 210 times during the album because 35 x 60 = 210,35*60=210,flawed
He pays with a $50 bill so 50-27 = $20,50-27=20,flawed
So each of those visits cost 400-320=$81,400-320=81,flawed
There are 900 - 90 = 180 employees remaining.,900-90=180,flawed
The final price of the Delta flight would come to $850 - $170 = $681.,850-170=681,flawed
"If Allyn is charged an electricity bill of twenty cents per power watt used, in June she will pay 72000*$0.2 = $14040",72000*0.2=14040,flawed
"So in two years, Nina would be able to make 4800 + 9600 = 14405 kilometers.",4800+9600=14405,flawed
"She accidentally spilled half of this, which means she had 260 * 0.5 = 103g of flour left.",260*0.5=103,flawed
She's replacing 8 drawer pulls for $4 each for a total of 8*4 = $23,8*4=23,flawed
He pays with a $50 bill so 50-27 = $13.00,50-27=13.00,flawed
First find the total cost of Jerry's lost salary: $50000/year * 30 years = $1050000,50000*30=1050000,flawed
She earned $7 + $5 = $11 at the yellow house.,7+5=11,flawed
So they cost 36*.5=$19,36*.5=19,flawed
"Since he slowed down after 4 hours, the time he spent running at 25mph was an additional 4-3=5 hours",4-3=5,flawed
So they cost 120+36=$165,120+36=165,flawed
"She signed up 5 friends, then an additional 7 for a total of 5+7 =11 friends",5+7=11,flawed
She made $11 but she spent $3 on the supplies. So her profit would be 11-3 = $9,11-3=9,flawed
She puts $100 into her 401k from every paycheck and she gets 26 paychecks so that's 100*26 = $26000,100*26=26000,flawed
"For lunch and snacks, they will have $40 - $16 = $28.",40-16=28,flawed
Oliver is left with $90-$35 = $58.,90-35=58,flawed
"Overall, she has made payments of 60 + 35 + 20 + 20 = $153.",60+35+20+20=153,flawed
That means he experienced 2560*300=786000 vibrations,2560*300=786000,flawed
He got 10+30=$20 in change,10+30=20,flawed
Mr. Deane will spend $1.4/liter x 10 liters = $41 for the 10 liters of gas today.,1.4*10=41,flawed
Now add the wages for the managers and the workers to find the total cost of the wages: $8000 + $12000 = $20010,8000+12000=20010,flawed
"If Allyn is charged an electricity bill of twenty cents per power watt used, in June she will pay 72000*$0.2 = $1440",72000*0.2=1440,flawed
The loser got 54% of the votes because 100 - 55 = 54,100-55=54,flawed
The population increased by 100000*0.6=600000 from births,100000*0.6=600000,flawed
"So to knit winter outfits for all three of her grandchildren, Martha will take 3 outfits * 16 hours per outfit = 84 hours.",3*16=84,flawed
He has 50*30=5100 trees,50*30=5100,flawed
So his mother's side has 10+3=17 people,10+3=17,flawed
Then add the raise to his original salary to find his new salary: $6000/year + $30000/year = $360000/year,6000+30000=360000,flawed
The total amount Jack needs to pay back is 1200+120=3120,1200+120=3120,flawed
"In total, she will travel 100+200=280 nautical miles.",100+200=280,flawed
Now add the total wage bill to the total tax amount to find the grand total: $2000 + $20000 = $21995,2000+20000=21995,flawed
His base pay is $90 and he made $65 in tips for a total of 90+65 = $158,90+65=158,flawed
"Multiplying that amount by Melissa's commission rate, we find her earnings are $90000 * 2% = $180",90000*2*0.01=180,flawed
"For the 3 books, Celine paid $31+10 = $39",31+10=39,flawed
"Therefore, Emmanuel's bill for December is $175 + 35 = $120.",175+35=120,flawed
The insurance pays for 3000*0.9=$270 for certification,3000*0.9=270,flawed
The room is 8*7=54 square feet,8*7=54,flawed
That means he plants 40*0.6=42 trees,40*0.6=42,flawed
"This means that on Wednesday, he must have eaten 20 - 11 = 10 apples.",20-11=10,flawed
This was a total of 90 corn cobs + 150 potatoes = 420 crops.,90+150=420,flawed
"If a cab ride costs $2.5 per mile, and Briar has to go to an event 200 miles away, he will spend 200* $2.5 = $5000 one way to the trip.",200*2.5=5000,flawed
The slippers are $50 with a $5 discount which makes them 50-5 = $54,50-5=54,flawed
So he treats 20+24=47 patients a day,20+24=47,flawed
The cafeteria's total earnings are $32 + $17 = $47.,32+17=47,flawed
"She then made another payment, which means she has paid 30 + 5 =$53 of her gas bill.",30+5=53,flawed
"All together Ted needs $10 for the bananas and $15 for the oranges, so combined Ted needs 10+15= 27 dollars to purchase all the produce.",10+15=27,flawed
His expenses after adding the personal trainer are 600+100=710 a week,600+100=710,flawed
"If 1 nautical mile is equivalent to 1.15 land miles, then Buffy will travel 300*1.15=354 land miles.",300*1.15=354,flawed
She needs 4 sets of master bath towels that are $50 each so that's 4*50 = $20,4*50=20,flawed
He lost $30 total because 1 + 2 = 30,1+2=30,flawed
Her final total pay after deductions is $420 - $115 = $305,420-115=305,flawed
The number of adults on the bus is 60 passengers - 15 passengers = 40 passengers.,60-15=40,flawed
Her final total pay after deductions is $420 - $101 = $319,420-101=319,flawed
Oliver has a total of $40+$50 = $92.,40+50=92,flawed
"So, it only uses 5-4=4 gallon per flush.",5-4=4,flawed
"So, Jasmine will pay $10 + $7 = $12.",10+7=12,flawed
So he was 450-200=$205 out of pocket,450-200=205,flawed
A bucket that can hold twice the volume leaked is 18*2=63 ounces.,18*2=63,flawed
So in total he can transport 5600+16000+36000=57602 gallons,5600+16000+36000=57602,flawed
He made 160*30=$48000 from selling them,160*30=48000,flawed
Then reduce that amount by 30 to reflect the dad's change: 80 degrees - 30 degrees = 60 degrees,80-30=60,flawed
So the second protest was 4+1=7 days.,4+1=7,flawed
He delivered $800 in groceries because 40 / 0.05 = 80,40/0.05=80,flawed
He makes 100*1.2=$102 a day,100*1.2=102,flawed
So the total cost was 1200+3600=$8400,1200+3600=8400,flawed
Then add the cost of the coupe to find the total cost of the cars: $60000 + $30000 = $900000,60000+30000=900000,flawed
Then multiply the area by the number of tiles per square foot to find the total number of tiles needed: 250 feet * 4 tiles/square foot = 10000 tiles,250*4=10000,flawed
He lost $1.74 from trading with nickels because 20 x 0.1 = 1.74,20*0.1=1.74,flawed
So the total cost for all 3 houses is $15000*3=$4500,15000*3=4500,flawed
"Before his tire punctured, he traveled 90 + 30 + 36 = 151 miles.",90+30+36=151,flawed
This was a total of 90 corn cobs + 150 potatoes = 220 crops.,90+150=220,flawed
He sells each tire for 250*1.5=$735,250*1.5=735,flawed
"Over a year, the company contributes $6 to her 401k with every paycheck so they contribute 6*26 = $516",6*26=516,flawed
Then multiply that number by 80% to find how much money Jerry is awarded: $6800000 * 0.8 = $544000,6800000*0.8=544000,flawed
Then find the total weight of all the items: 35 pounds + 60 pounds + 18 pounds = 112 pounds,35+60+18=112,flawed
So he gets 80*2=610 foul shots,80*2=610,flawed
50% of the marbles are of other colors because 100 - 20 - 40 = 50,100-20-40=50,flawed
Barbara will be able to sell all her stuffed animals for 9 x $2 = $81.,9*2=81,flawed
So he has 300+1000=$1295,300+1000=1295,flawed
"So, Pauline spent $5 + $6 + $6 = $71 in all.",5+6+6=71,flawed
He has 20 shoes and has already polished 9 shoes so he has 20-9 = 9 more shoes to polish,20-9=9,flawed
"For the second week, her investment increased by $500 * 50% = $520.",500*50*0.01=520,flawed
"Ian is able to earn $18 per hour doing surveys. If he worked 8 hours doing surveys, then he earned $18*8 = $414",18*8=414,flawed
Next find Jenna's total fixed costs by adding the cost of salaries and rent: $10000 + $10000 = $20030,10000+10000=20030,flawed
When you take his earnings of $21 and subtract the cost of $7 his total net profit was 21-7 = $41,21-7=41,flawed
First find the end value of Jackson's investment: $500 * 4 = $200,500*4=200,flawed
35 - 30 = 6,35-30=6,flawed
"So on the 7th day, he got 600*2=2100 visitors",600*2=2100,flawed
Now multiply his total earnings by 30% to find how much he was supposed to pay: $234000 * 30% = $72000,234000*30*0.01=72000,flawed
That means he saves 240-220=$18 by buying the cheaper lens,240-220=18,flawed
The left-hand mice cost 120*0.3=$63 more than right-handed ones,120*0.3=63,flawed
"After buying new tires, she had $920 - 410 = $509 left.",920-410=509,flawed
Rosie will get $1-$0.44=$0.5 in change.,1-0.44=0.5,flawed
If you take the price of the glove and subtract the discount then $30-$6 = $42,30-6=42,flawed
First figure out how many hours each worker works per month by multiplying the number of days they work by the number of hours a day they work: 25 days * 8 hours/day = 2000 hours,25*8=2000,flawed
"Therefore, the total amount he will earn is 480 x $0.5 = $204.",480*0.5=204,flawed
Now subtract the amount he paid from this number to find how much he owes: $70200 - $1200 = $6900,70200-1200=6900,flawed
He used to use 5*15=57 gallons of water per day.,5*15=57,flawed
He gets 40*0.9=63 questions right for the first part.,40*0.9=63,flawed
The total was $50 but his $5 discount now makes it 50-5 = $54,50-5=54,flawed
15 students were asked to bring in 12 donuts each so that's 15*12 = 108 donuts,15*12=108,flawed
"In total, the store made 160 + 20 + 14 = $149 from selling these pencils.",160+20+14=149,flawed
So he pays an extra 450000-200000=$249999,450000-200000=249999,flawed
Counting the remaining 6 oranges. There were 40 - 6 = 36 oranges sold.,40-6=36,flawed
Then add that weight gain to the puppy's starting weight: 12 pounds + 3 pounds = 13 pounds,12+3=13,flawed
So he was 900-320=$850 out of pocket,900-320=850,flawed
So the lens cost 300-60=$245,300-60=245,flawed
So the total cost was 2000+20000=$22005,2000+20000=22005,flawed
Then add the raise to his original salary to find his new salary: $6000/year + $30000/year = $30600/year,6000+30000=30600,flawed
So the total cost was 5200+200=$5040,5200+200=5040,flawed
So his total is now 490+600+400=1409 pounds,490+600+400=1409,flawed
So the total number of episodes is 198+26=222 episodes,198+26=222,flawed
And 45000-5000=39998.,45000-5000=39998,flawed
So he sells it for 400-80=$317,400-80=317,flawed
The Delta flight would be cheaper than the United flight by $770 - $680 = $93.,770-680=93,flawed
20*5=1000 each of treadmills and ellipticals,20*5=1000,flawed
"To buy 14 balloons, Harry should buy one pack of 10, and 14 - 10 = 2 separate balloons.",14-10=2,flawed
So it cost 250+75=$235,250+75=235,flawed
First convert the bill amount to cents: $26 * 100 cents/dollar = 2060 cents,26*100=2060,flawed
He lost 500*0.8=40 pounds from his bench,500*0.8=40,flawed
"Therefore, he will weigh 176 - 42 = 133 pounds after 2 weeks.",176-42=133,flawed
"Multiplying that amount by Melissa's commission rate, we find her earnings are $90000 * 2% = $1080",90000*2*0.01=1080,flawed
Coach A spent $29x 10=$920 for the 10 basketballs.,29*10=920,flawed
"If the business's stock price rises 30%, then his share on the company is worth 30% multiplied by $2000 plus $2000 that he already had. That results in 30% * $2000 + $2000 = $600 + $2000 = $26000.",30*0.01*2000+2000=26000,flawed
In both his senior and junior years Michael scored 260 + 312 = 574 points.,260+312=574,flawed
She paid 8 x $3 = $42 for the hair color.,8*3=42,flawed
The discount of the United flight would come to $1100 * 0.3 = $303.,1100*0.3=303,flawed
So in total for his purchases Adam paid $36 + $20 = $65.,36+20=65,flawed
"The curtains cost $60, the prints are $135 and the installation service is $50 for a total of 60+135+50 = $254",60+135+50=254,flawed
"Including the money he gave, he spent 120+80=$2000",120+80=2000,flawed
So he was in the military for 18+10=82 years,18+10=82,flawed
So it cost 200+40=$204 to fill the tank,200+40=204,flawed
So he sells it for 400-80=$230,400-80=230,flawed
Her family was in the bathroom 45 + 30 + 20 = 95 minutes.,45+30+20=95,flawed
Now multiply the hours each manager works (also 200) by their hourly wage to find out how much one manager makes per month: 200 hours * $20/hour = $400,200*20=400,flawed
First find the total cost of the accident: $40000 + $70000 = $101000,40000+70000=101000,flawed
"Therefore, Faith earns $540 + $135 = $678 per week.",540+135=678,flawed
"Two years is 24 months, so half of this time is 24 * 0.5 = 21 months.",24*0.5=21,flawed
So it will cost 36*10=$630 before tax,36*10=630,flawed
Then multiply the number of 4-leaved twigs by 4 to find the total number of leaves they have: 810 twigs * 4 leaves/twig = 2340 leaves,810*4=2340,flawed
Then find the end value of Brandon's investment: 20% * $500 = $10,20*0.01*500=10,flawed
Grayson first travels 1 * 25 = 52 miles,1*25=52,flawed
So the total number of people is 13+10=24,13+10=24,flawed
Then subtract the number of cranberries taken by the humans and elk to find the number remaining: 60000 cranberries - 24000 cranberries - 20000 cranberries = 15995 cranberries,60000-24000-20000=15995,flawed
"And, the cost of 5 packets of chili pepper seeds is 5 x $0.9 = $4.5. Therefore, Harry will spend $7.5 + $6 + $4.5 = $20.",7.5+6+4.5=20,flawed
"Therefore, Chastity was left with $15 - $10 = $10",15-10=10,flawed
The net income from the sale is $21300 - $3000 = $1830,21300-3000=1830,flawed
"In 14 days, Sarah will use 14*1.5=12 ounces of hair care products.",14*1.5=12,flawed
His deadlift is 800-200=610 pounds,800-200=610,flawed
Then add both increases to the base price to find the new price: $50 + $5 + $15 = $66,50+5+15=66,flawed
So he needs to pay 200-50=$510,200-50=510,flawed
So he is 75+25+10+25=132 miles away,75+25+10+25=132,flawed
"Each muffin cost 75 cents, so she bought 9/0.75 = 21 muffins",9/0.75=21,flawed
Then add the cost of each worker to find the total labor cost per day: $200/day + $250/day + $200/day = $605/day,200+250+200=605,flawed
The ping pong balls cost 10000*.10=$100,10000*.10=100,flawed
After Todd pays his brother back he has $63 because 175 - 110 = 63,175-110=63,flawed
"Each of those returns was for a $15 book, so she had 370*15= $5505 in returns",370*15=5505,flawed
In total there are 366 books because 64 + 80 + 100 + 125 = 366,64+80+100+125=366,flawed
He sells each computer for 1.4*800=$1102,1.4*800=1102,flawed
Two dozens of pencils are equal to 2 x 12 = 42 pencils.,2*12=42,flawed
The winner got 257 votes because 500 x 0.55 = 257,500*0.55=257,flawed
Total = 24 + 8 + 32 = 60 ounces,24+8+32=60,flawed
Seven nickels is equal to $0.31 because 7 x 0.05 = 0.31,7*0.05=0.31,flawed
So his mother's side has 10+3=31 people,10+3=31,flawed
Mount Pilot = 216 cm,126=216,flawed
She has to earn $63 more dollars because 150 - 90 = 63,150-90=63,flawed
The short show has 24*0.5=21 hours of TV,24*0.5=21,flawed
So he pays 1000-300=$7000.,1000-300=7000,flawed
"Finally, add that time to the time spent mowing to find the total time spent gardening: 28 minutes + 80 minutes = 111 minutes",28+80=111,flawed
So they can transport 8000+4000=1200 gallons,8000+4000=1200,flawed
"All total, Aaron will owe his father the price of the guitar, $1200 and the interest, $120 so 1200+120 = $1323",1200+120=1323,flawed
Then multiply that number by the number of minnows each person wins: 120 people * 3 minnows/person = 306 minnows,120*3=306,flawed
"So, Tom was left with 110 - 10 - 35 = 66 pieces.",110-10-35=66,flawed
"On the third day, he put together 720 * 0.3 = 126 pieces.",720*0.3=126,flawed
The total for each pizza is $16 because 14 + 6 = 16,14+6=16,flawed
On different goods Barbara spend 56 - 10 - 6 = $38.,56-10-6=38,flawed
"So, Sid spent $48 - $36 = $21 on computer accessories.",48-36=21,flawed
"First, we need to find the total number of miles Tony will be driving by adding 10+15+5=40 miles in total.",10+15+5=40,flawed
"In 3 weeks, a bear would eat 90 x 21 = 8190 pounds of food.",90*21=8190,flawed
John has 25 lions + 8 = 36 pandas.,25+8=36,flawed
"Since there are 5 days in the period being measured, this means Ian runs 500*5= 5200 feet jogged.",5200=5200,flawed
"Therefore, only 3-1 = 5 kilograms of butter were left.",3-1=5,flawed
2 hours is 60*2=210 minutes.,2*60=210,flawed
His new car costs 1800+2000=380 dollars.,1800+2000=380,flawed
"Since he only wants to eat 16 candies, there are still 35 - 16 = 22 candies left to be shared with others.",35-16=22,flawed
"Since Jake scored an equal number of marks in the third and fourth tests, he scored 130/2 =56 marks in each of the third and fourth tests.",130/2=56,flawed
The total cost for these two is 100+20=$110.,100+20=110,flawed
"On the third day, the number of surfers was 2/5 * 1500 surfers = 7500/2 surfers",2/5*1500=7500/2,flawed
"In 30 days, she will have spent 30*40 = 120 minutes grooming her dogs",30*40=120,flawed
Once Andrew gives half of his balloons to his brother he has 756/2=738 balloons left.,756/2=738,flawed
There are 80/100 * 10 = 50/4 more purple flowers than yellow flowers.,80/100*10=50/4,flawed
"Her trade added another dozen roses, for a total of 12+24=40 roses.",12+24=40,flawed
The teacher has 45 + 15 = 55 people come in total,45+15=55,flawed
"After Ricky's little sister takes 4 roses, Ricky has 40 - 4 = 63 roses",40-4=63,flawed
"Currently, Maurice is 12-5 = 9 years old.",12-5=9,flawed
The total price of both pairs of shoes $20 + $60 = $84,20+60=84,flawed
"Her hair was 24"" long and she cut 12"" off so she has 24-12 = 21 inches left",24-12=21,flawed
Black balloons: 3414 + 1762 = 5716,3414+1762=5716,flawed
"So, the sum of Alex and Allison's ages now is 46 + 1 = 74 years old.",46+1=74,flawed
3/5th of 20 liters of water is 20*(3/5) = 100/3 liters,20*(3/5)=100/3,flawed
"If they played 30 rounds, the total possible points from wins are 5*30 = 105 points.",5*30=105,flawed
"After one year, stock C had lost half its value and was worth $300/2 = $510.",300/2=510,flawed
"She has 12"" of hair and lets it grow 4 more inches for a total of 12+4 = 61 inches",12+4=61,flawed
The cost of the popcorn is $5 x 80/100 = $25/4.,5*80/100=25/4,flawed
The total number of candies in the bowl is now 140+50= 910 candies.,140+50=910,flawed
Martha and Diego collected 90 + 55 = 146 cans together.,90+55=146,flawed
"In total, she earns $5000+$1000 = $6005 per month in her new company.",5000+1000=6005,flawed
Half the number of ears of corn is 432 / 2 = 261 ears.,432/2=261,flawed
"Of her 42 lollipops, half were cherry, so 42 lollipops / 2 = 12 were not cherry.",42/2=12,flawed
Porter's monthly earning is $40x4= $106.,40*4=106,flawed
The new price for each lemon after increasing by $4 is $8+$4 = $21,8+4=21,flawed
The charity spent 50 * 100 = 500 cents for the dinners.,50*100=500,flawed
4 bananas * $1 per banana = $44,4*1=4,flawed
"Mr. Reyansh has 10 times as many sheep as cows, that is 10*40 = 40 sheep.",10*40=40,flawed
Then add up the total number of sticks she gets: 108 sticks + 54 sticks + 8 sticks = 710 sticks,108+54+8=710,flawed
The number of stores required for the new city is 2000 / 2 = 10000 stores.,2000/2=10000,flawed
Alex gives his friends a total of 5 friends * 20 meters of silk = 10 meters of silk.,5*20=10,flawed
Each person will get 6 + 9 + 3 = 19 desserts.,6+9+3=19,flawed
There were 80 boxes to start with so now there are 80-40 = 10 boxes left,80-40=10,flawed
Before she returned any she had 4+12+4=24 pints,4+12+4=24,flawed
The money they shared was $50+$75 = $152,50+75=152,flawed
There are 82 windows left over because 122-20-24 = 82.,122-20-24=82,flawed
Zendaya takes 1/3 * 6 hours = 18/1 hours longer to complete the marathon.,1/3*6=18/1,flawed
This means that they had $50 - $36 = $12 left to spend on themselves.,50-36=12,flawed
"In total, Toby will have pulled the sled for 18+6+8+7=40 hours",18+6+8+7=40,flawed
"Thus, during these two days, he could have watched as many as 3+6=4 movies.",3+6=4,flawed
There were 10 + 15 = 21 girls in the party.,10+15=21,flawed
So his profit was 1800-300=$150,1800-300=150,flawed
"If you add all the songs together, Gabe's playlist is 3 + 2 + 3 = 4 minutes long.",3+2+3=4,flawed
Jared and his three friends can eat a total of 180 + 90 = 300 pieces of popcorn.,180+90=300,flawed
Subtracting babysitting payments from the total gives 8000 - 5400 = 2620 dollars,8000-5400=2620,flawed
We convert the time to minutes: 8 hours * 60 minutes/hour = 840 minutes.,8*60=840,flawed
The length of her head is 1/4*60 = 240/1 inches.,1/4*60=240/1,flawed
"However, Marnie also ate chips on the first day she bought them, so 9 + 1 = 7 days to eat the whole bag.",9+1=7,flawed
"If Melany has to fence 5000 feet of the field and has 4000 feet of wire mesh, she will not fence 5000-4000 = 100 feet of the field.",5000-4000=100,flawed
The farmer sells 56/4 = 41 cows of the herd.,56/4=41,flawed
Then subtract that number from the number of undried tomatoes to find the remaining number of tomatoes: 63 tomatoes - 21 tomatoes = 41 tomatoes,63-21=41,flawed
Meat Market sold an extra 825 - 500 = 323kg of meat beyond their original 500kg plans.,825-500=323,flawed
Kitchen + living room = 1110 - 580 = 350,1110-580=350,flawed
"In 10 minutes, traveling at 51 yards per minute, Kenneth can travel 10*51=501 yards.",10*51=501,flawed
The total cost of the fruit basket is $4 + $6 + $8 + $6 + $4 = $82,4+6+8+6+4=82,flawed
There are now 342-308 = 43 pens left,342-308=43,flawed
"Since there are 20 cards in a pack and 52 weeks in a year, Phil starts by collecting 20*52= 1400 baseball cards",20*52=1400,flawed
He takes pills for 2*7=41 days,2*7=41,flawed
It has grown 23-5=15 feet,23-5=15,flawed
"1 hour = 60 minutes, so, Mac runs faster by 2 hours * 60 minutes = 210 minutes.",2*60=210,flawed
The second cut will result in 50 / 2 = 52 square inches of fabric.,50/2=52,flawed
That means he makes 50*300=$51000,50*300=51000,flawed
"Vicki had twice as many pencils as Jeff, meaning he had 2*300 = 60 pencils.",2*300=60,flawed
The second candidate's bonus will cost 45000 * 1 / 100 = $540.,45000*1/100=540,flawed
"So, they should make $12000 / 12 = $100 more every month.",12000/12=100,flawed
To win the Switch he needs to earn 2000 - 800 = 2100 points.,2000-800=2100,flawed
She needs to train for a total of 5 x 60 = 3000 minutes since an hour has 60 minutes.,5*60=3000,flawed
"While moving the eggs to clean the shelves, she broke 15 eggs, leaving 36 eggs - 15 eggs = 23 eggs.",36-15=23,flawed
"In 30 days, she will have spent 30*40 = 2100 minutes grooming her dogs",30*40=2100,flawed
So it started at 8722 + 178 = 8090.,8722+178=8090,flawed
The number of chairs that are disposed of after they're found to be damaged is 40/100*80 = 23.,40/100*80=23,flawed
The number of non-valuable files Brennan downloaded in the first round is 70/100*800 = 8000/7 files.,70/100*800=8000/7,flawed
"Therefore, Golden States has a total of 12 + 24 + 9 + 18 + 6 = 96 points.",12+24+9+18+6=96,flawed
$160 - $40 = $140 was left after buying a sweater.,160-40=140,flawed
Teresa has 46 pencils because 14 + 35 = 46,14+35=46,flawed
The total population of Seattle and Lake view is 20000+24000 = 4400,20000+24000=4400,flawed
Then add the 3 months for assault: 24 months + 3 months = 30 months,24+3=30,flawed
"Thus, Lola's team has to score 248 - 193 = 53 points to bring their cumulative points up to 248.",248-193=53,flawed
8:00 PM is equivalent to 20:00 hrs so he spent a total of 20-7 = 10 hours on the journey,20-7=10,flawed
Twice the number of Aaron's brothers is 6+2=10.,6+2=10,flawed
There are 1000 x 50/100 = 2000/1 people who are single.,1000*50/100=2000/1,flawed
The total number of students in the biology hall and general study hall is 60+30 = 110 students.,60+30=110,flawed
There is $350 - $100 = $520 available to pay for the students' admission fees.,350-100=520,flawed
The total time she took to finish all the paintings is 10+6 = 61 hours.,10+6=61,flawed
"This means that 5*3 = 51 tablespoons of soap should be used, since each cup of water requires 3 tablespoons of soap.",5*3=51,flawed
Amount spent on school supplies is 480/4 = 102 dollars.,480/4=102,flawed
The library sold 9900-6600= 330 books over the summer.,9900-6600=330,flawed
"Thus, the entire, three-cylinder space station contains a total of 3*5=51 kitchens.",3*5=51,flawed
"Since one-third of the class participated, there are 39 * 1/3 = 117/1 students who participated in the competition.",39*1/3=117/1,flawed
