answer,erroneous_line_number,error_type,explanation,filepath,index,question,wrong_answer,error_reason,source_catalog,tier,model,correct_trace_generated,target_variable,correct_value,flawed_value,repro_seed,date_utc,time_utc
"The bulk warehouse has 48 cans for $12.00 so that's 12/48 = $0.25 a can
The local grocery store has 12 cans for $6.00 so that's 6/12 = $0.50 a can
The grocery store offer is $0.50 a can and the warehouse is $0.25 a can so the grocery store is .50-.25 = $<<0.50-.25=0.25>>0.25 more expensive per can
#### 25",,computational,12/48 = $0.25 not $0.20.,GSM8_Edited/101-200.json,123,"A bulk warehouse is offering 48 cans of sparkling water for $12.00 a case.  The local grocery store is offering the same sparkling water for $6.00 and it only has 12 cans.  How much more expensive, per can, in cents, is this deal at the grocery store?","The bulk warehouse has 48 cans for $12.00 so that's 12/48 = $0.20 a can
The local grocery store has 12 cans for $6.00 so that's 6/12 = $0.50 a can
The grocery store offer is $0.50 a can and the warehouse is $0.20 a can so the grocery store is .50-.20 = $<<0.50-.20=0.30>>0.30 more expensive per can
#### 30",Missing erroneous_line_number,manual,,,,,,,,,
"There are 3 families of 4 meaning there are 3*4 =<<3*4=12>>12 people in the vacation rental
They all use 1 oversized beach towel a day so they use 1*12 = <<1*12=12>>12 towels a day
They use 12 towels a day for 7 days so in one week they use 12*7 = <<12*7=84>>84 beach towels
The washing machine can only hold 14 towels and they have 84 towels to wash which means there are 84/14 =<<84/14=7>>7 loads of laundry
#### 7",,computational,12*7 = <<12*7=84>>84 not 70.,GSM8_Edited/101-200.json,137,3 families of 4 people shared a vacation rental for 7 days.  Everyone uses 1 oversized beach towel a day before getting a new one.  The washing machine can hold 14 oversized beach towels per load.  How many loads of laundry will it take to wash all the oversized beach towels?,"There are 3 families of 4 meaning there are 3*4 =<<3*4=12>>12 people in the vacation rental
They all use 1 oversized beach towel a day so they use 1*12 = <<1*12=12>>12 towels a day
They use 12 towels a day for 7 days so in one week they use 12*7 = <<12*7=70>>70 beach towels
The washing machine can only hold 14 towels and they have 70 towels to wash which means there are 70/14 =<<70/14=5>>5 loads of laundry
#### 5",Missing erroneous_line_number,manual,,,,,,,,,
"Janice walks up 3 flights of stairs 5 times per day, for a total of 3*5 = <<3*5=15>>15 flights of stairs
Janice walks down 3 flights of stairs 3 times per day, for a total of 3*3 = <<3*3=9>>9 flights of stairs
In total, she walks 15+9=<<15+9=24>>24 flights of stairs in a single day
#### 24",,computational,3*5 = <<3*5=15>>15 not 20.,GSM8_Edited/101-200.json,139,"Janice's office is on the third floor, and she has to walk up 3 flights of stairs to get to her office.  In a single day, she goes up the three flights of stairs 5 times, down the the three flights of stairs 3 times, and uses the elevator the remainder of the time.  How many flights of stairs does Janice walk (up and down) in a single day?","Janice walks up 3 flights of stairs 5 times per day, for a total of 3*5 = <<3*5=20>>20 flights of stairs
Janice walks down 3 flights of stairs 3 times per day, for a total of 3*3 = <<3*3=9>>9 flights of stairs
In total, she walks 20+9=<<15+9=29>>29 flights of stairs in a single day
#### 29",Missing erroneous_line_number,manual,,,,,,,,,
"She had 5+8 = <<5+8=13>>13 crayons to start with
She gave out 3+1 = <<3+1=4>>4 crayons to Becky
She will have 13-4 = <<13-4=9>>9 crayons left
#### 9",,computational,5+8 = <<5+8=13>>13 not 14.,GSM8_Edited/101-200.json,147,"Mary has 5 green crayons and 8 blue crayons of different shades. If she gives out 3 green crayons and 1 blue crayon to Becky, how many crayons does she have left?","She had 5+8 = <<5+8=14>>14 crayons to start with
She gave out 3+1 = <<3+1=4>>4 crayons to Becky
She will have 14-4 = <<14-4=10>>10 crayons left
#### 10",Missing erroneous_line_number,manual,,,,,,,,,
"There are 23+16=<<23+16=39>>39 beads in the bowl
Dividing them into 3 equal parts give 39/3=<<39/3=13>>13 beads each
Before doubling the number of beads, she had 6/2=<<6/2=3>>3 beads left in each part.
Therefore she had removed 13-3=<<13-3=10>>10 beads from each part.
#### 10",,computational,39/3=<<39/3=13>>13 not 12.,GSM8_Edited/101-200.json,157,"A young girl pours 23 blue beads and 16 yellow beads into a bowl. She divides the total into 3 equal parts, removes some beads from each part, and doubles the rest to have 6 beads in each part now. How many beads were removed from each part?","There are 23+16=<<23+16=39>>39 beads in the bowl
Dividing them into 3 equal parts give 39/3=<<39/3=12>>12 beads each
Before doubling the number of beads, she had 6/2=<<6/2=3>>3 beads left in each part.
Therefore she had removed 12-3=<<12-3=9>>9 beads from each part.
#### 9",Missing erroneous_line_number,manual,,,,,,,,,
"On 80 games, Daniel spend 80 games * $12/game = $<<80*12=960>>960.
The rest of the collection is 346 games - 80 games = <<346-80=266>>266 games.
50% of these games means 50/100 * 266 games = <<50/100*266=133>>133 games.
Daniel bought them for $7 each, so he had to spend 133 games * $7/game = $<<133*7=931>>931 on them.
The other 133 games were bought for $3 each, so they've cost him 133 games * $3/game = $<<133*3=399>>399.
On all games in total Daniel spent $960 + $931 + $399 = $<<960+931+399=2290>>2290.
#### 2290",,computational,133 games * $7/game = $<<133*7=931>>931 not 913.,GSM8_Edited/101-200.json,162,"Daniel has a collection of 346 video games. 80 of them, Daniel bought for $12 each. Of the rest, 50% were bought for $7. All others had a price of $3 each. How much did Daniel spend on all the games in his collection?","On 80 games, Daniel spend 80 games * $12/game = $<<80*12=960>>960.
The rest of the collection is 346 games - 80 games = <<346-80=266>>266 games.
50% of these games means 50/100 * 266 games = <<50/100*266=133>>133 games.
Daniel bought them for $7 each, so he had to spend 133 games * $7/game = $<<133*7=913>>913 on them.
The other 133 games were bought for $3 each, so they've cost him 133 games * $3/game = $<<133*3=399>>399.
On all games in total Daniel spent $960 + $913 + $399 = $<<960+913+399=2272>>2272.
#### 2272",Missing erroneous_line_number,manual,,,,,,,,,
"The first movie was 2*60=<<2*60=120>>120 minutes
So this movie is 120*.6=<<120*.6=72>>72 minutes longer
So this movie is 192 minutes
It also cost 50*2=$<<50*2=100>>100 per minute to film
So it cost 192*100=$19200
#### 19200",,conceptual,The question asked for the newest movie cost not the total.,GSM8_Edited/101-200.json,167,"Janet filmed a new movie that is 60% longer than her previous 2-hour long movie.  Her previous movie cost $50 per minute to film, and the newest movie cost twice as much per minute to film as the previous movie.  What was the total amount of money required to film Janet's entire newest film?","The first movie was 2*60=<<2*60=120>>120 minutes
So this movie is 120*.6=<<120*.6=72>>72 minutes longer
So this movie is 192 minutes
It also cost 50*2=$<<50*2=100>>100 per minute to film
So it cost 192*100=$19200.
The first movie cost is 120*50=<<120*50=6000>>6000.
Hence, the total cost is 19200 + 6000=<<19200+6000=25200>>=25200
#### 25200",Missing erroneous_line_number,manual,,,,,,,,,
"She orders 2 quiches for $15.00 each so they cost 2*15 = $<<2*15=30.00>>30.00
She orders 6 croissants at $3.00 each so they cost 6*3 = $<<6*3=18.00>>18.00
She orders 6 biscuits at $2.00 each so they cost 6*2 = $<<6*2=12.00>>12.00
Her advance order is 30+18+12 = $<<30+18+12=60.00>>60.00
Her advance order is over $50.00 so she can get 10% off so .10*60 = $6.00
Her order is $60.00 and she gets $6.00 off so her advanced order will cost 60-6=$<<60-6=54.00>>54.00
#### 54",,computational,30+18+12 = $<<30+18+12=60.00>>60.00 not 70.00,GSM8_Edited/101-200.json,168,"Silvia’s bakery is offering 10% on advanced orders over $50.00.  She orders 2 quiches for $15.00 each, 6 croissants at $3.00 each and 6 buttermilk biscuits for $2.00 each.  How much will her order be with the discount?","She orders 2 quiches for $15.00 each so they cost 2*15 = $<<2*15=30.00>>30.00
She orders 6 croissants at $3.00 each so they cost 6*3 = $<<6*3=18.00>>18.00
She orders 6 biscuits at $2.00 each so they cost 6*2 = $<<6*2=12.00>>12.00
Her advance order is 30+18+12 = $<<30+18+12=70.00>>70.00
Her advance order is over $50.00 so she can get 10% off so .10*70 = $7.00
Her order is $70.00 and she gets $7.00 off so her advanced order will cost 70-7=$<<70-7=63.00>>63.00
#### 63",Missing erroneous_line_number,manual,,,,,,,,,
"We can find how long the hare spends running by dividing the distance of the race by the hare's speed: 20 feet / 10 feet/second = <<20/10=2>>2 seconds
We can do the same for the turtle: 20 feet / 1 foot/second = <<20/1=20>>20 seconds
Finally, subtract the hare's run time from the turtle's run time to find the length of the head start the turtle needs: 20 seconds - 2 seconds = <<20-2=18>>18 seconds
#### 18",,computational,20 feet / 10 feet/second = <<20/10=2>>2 not 3.,GSM8_Edited/101-200.json,173,"Mark has two pets, a hare that runs 10 feet/second and a turtle that crawls 1 foot/second. If they're going to run a 20 foot-race, how much of a head start (in seconds) does the turtle need to finish in a tie?","We can find how long the hare spends running by dividing the distance of the race by the hare's speed: 20 feet / 10 feet/second = <<20/10=2>>3 seconds
We can do the same for the turtle: 20 feet / 1 foot/second = <<20/1=20>>20 seconds
Finally, subtract the hare's run time from the turtle's run time to find the length of the head start the turtle needs: 20 seconds - 3 seconds = <<20-3=17>>17 seconds
#### 17",Missing erroneous_line_number,manual,,,,,,,,,
"Lisa spends $40 on t-shirts / 2 = $<<40/2=20>>20 on jeans.
She also spends $40 on t-shirts * 2 = $<<40*2=80>>80 on coats.
So Lisa has spent a total of 40 + 20 + 80 = $<<40+20+80=140>>140.
Carly spends $40 / 4 = $<<40/4=10>>10 on t-shirts.
She also spends $20 per pair of jeans * 3 = $<<20*3=60>>60 on jeans.
She then also spends $80 Lisa’s cost for coats / 4 = $<<80/4=20>>20 on coats.
So Carly has spent a total of 10 + 60 + 20 = $<<10+60+20=90>>90.
Lisa and Carly have therefore spent a total of 140 + 90 = $<<140+90=230>>230.
#### 230",,computational,$<<40+20+80=140>>140 not 130.,GSM8_Edited/101-200.json,182,"Lisa and Carly go shopping together. Lisa spends $40 on t-shirts then spends half of this amount on jeans and twice this amount on coats. Carly spends only a quarter as much as Lisa on t-shirts but spends 3 times as much on jeans and a quarter of the amount Lisa spent on coats. In dollars, how much did Lisa and Carly spend in total?","Lisa spends $40 on t-shirts / 2 = $<<40/2=20>>20 on jeans.
She also spends $40 on t-shirts * 2 = $<<40*2=80>>80 on coats.
So Lisa has spent a total of 40 + 20 + 80 = $<<40+20+80=130>>130.
Carly spends $40 / 4 = $<<40/4=10>>10 on t-shirts.
She also spends $20 per pair of jeans * 3 = $<<20*3=60>>60 on jeans.
She then also spends $80 Lisa’s cost for coats / 4 = $<<80/4=20>>20 on coats.
So Carly has spent a total of 10 + 60 + 20 = $<<10+60+20=90>>90.
Lisa and Carly have therefore spent a total of 130 + 90 = $<<130+90=220>>220.
#### 220",Missing erroneous_line_number,manual,,,,,,,,,
"3 foxes catch 4 weasels each every week for a total of 3*4 = <<3*4=12>>12 weasels
12 weasels are caught every week for 3 weeks for a total of 12*3 = <<12*3=36>>36 weasels
3 foxes catch 2 rabbits each every week for a total of 3*2 = <<3*2=6>>6 rabbits
6 rabbits are caught every week for 3 weeks for a total of 6*3 = <<6*3=18>>18 rabbits
There were originally 100 weasels so now there are 100-36 = <<100-36=64>>64 weasels left
There were originally 50 rabbits so now there are 50-18 = <<50-18=32>>32 rabbits left
There are 64+32 = <<64+32=96>>96 weasels and rabbits left
#### 96",,computational,100-36 = <<100-36=64>>64 not 54.,GSM8_Edited/101-200.json,191,"In a section of the forest, there are 100 weasels and 50 rabbits. Three foxes invade this region and hunt the rodents. Each fox catches an average of 4 weasels and 2 rabbits per week. How many rabbits and weasels will be left after 3 weeks?","3 foxes catch 4 weasels each every week for a total of 3*4 = <<3*4=12>>12 weasels
12 weasels are caught every week for 3 weeks for a total of 12*3 = <<12*3=36>>36 weasels
3 foxes catch 2 rabbits each every week for a total of 3*2 = <<3*2=6>>6 rabbits
6 rabbits are caught every week for 3 weeks for a total of 6*3 = <<6*3=18>>18 rabbits
There were originally 100 weasels so now there are 100-36 = <<100-36=54>>54 weasels left
There were originally 50 rabbits so now there are 50-18 = <<50-18=32>>32 rabbits left
There are 54+32 = <<54+32=86>>86 weasels and rabbits left
#### 86",Missing erroneous_line_number,manual,,,,,,,,,
"The sales for iPhones were 100 iPhones * $1000 per iPhone on average = $<<100*1000=100000>>100,000
The sales for iPads today were 20 iPads * $900 per iPad = $<<20*900=18000>>18,000
The sales for Apple TV’s today were 80 * $200 = $<<80*200=16000>>16,000
The total sales for Apple at their New York store today was $100,000 + $18,000 + $16,000 = $<<100000+18000+16000=134000>>134,000
The total number of products sold was 100 + 20 + 80 = <<100+20+80=200>>200
The average cost per product sold was $134,000 total sales / 200 total products = $<<134000/200=670>>670
#### 670",,computational,"$100,000 + $18,000 + $16,000 = $<<100000+18000+16000=134000>>134,000 not 144,000.",GSM8_Edited/101-200.json,192,Apple sold 100 iPhones at their New York store today for an average cost of $1000. They also sold 20 iPads for an average cost of $900 and 80 Apple TVs for an average cost of $200. What was the average cost across all products sold today?,"The sales for iPhones were 100 iPhones * $1000 per iPhone on average = $<<100*1000=100000>>100,000
The sales for iPads today were 20 iPads * $900 per iPad = $<<20*900=18000>>18,000
The sales for Apple TV’s today were 80 * $200 = $<<80*200=16000>>16,000
The total sales for Apple at their New York store today was $100,000 + $18,000 + $16,000 = $<<100000+18000+16000=144000>>144,000
The total number of products sold was 100 + 20 + 80 = <<100+20+80=200>>200
The average cost per product sold was $144,000 total sales / 200 total products = $<<144000/200=720>>720
#### 720",Missing erroneous_line_number,manual,,,,,,,,,
"On Monday and Wednesday, Rosie runs 6*1= <<6*1=6>>6 miles.
On Tuesday, Rosie runs 6*(30 minutes/60 minutes) = <<6*(30/60)=3>>3 miles.
On Thursday, Rosie runs 6*(20 minutes/60 minutes)=<<6*(20/60)=2>>2 miles.
So far this week Rosie has run 6+3+6+2=<<6+3+6+2=17>>17 miles.
To reach her goal, she must run 20-17=<<20-17=3>>3 miles on Friday.
Thus, she should run for 3/6=.5 hour which is 30 minutes.
#### 30",,conceptual,She should run for 3/6=.5 hour.,GSM8_Edited/101-200.json,198,"Rosie runs 6 miles per hour. She runs for 1 hour on Monday, 30 minutes on Tuesday, 1 hour on Wednesday, and 20 minutes on Thursday. If she wants to run 20 miles for the week, how many minutes should she run on Friday?","On Monday and Wednesday, Rosie runs 6*1= <<6*1=6>>6 miles.
On Tuesday, Rosie runs 6*(30 minutes/60 minutes) = <<6*(30/60)=3>>3 miles.
On Thursday, Rosie runs 6*(20 minutes/60 minutes)=<<6*(20/60)=2>>2 miles.
So far this week Rosie has run 6+3+6+2=<<6+3+6+2=17>>17 miles.
To reach her goal, she must run 20-17=<<20-17=3>>3 miles on Friday.
Thus, she should run for 6/3=2 hour which is 120 minutes.
#### 120",Missing erroneous_line_number,manual,,,,,,,,,
"A full year has 12 months. So 2 years is 2*12 = <<2*12=24>>24 months
The loan amount is $6,000 that he will repay in 24 months so 6000/24 = $<<6000/24=250>>250 per month
If he paid his dad back in 5 years that 5*12 = <<5*12=60>>60 months
$6,000 loan spread out over 60 months is 6000/60 = $<<6000/60=100>>100 per month
To pay it off in 2 years instead of 5, Gary is paying 250-100 = $<<250-100=150>>150 more per month
#### 150",,computational,6000/24 = $<<6000/24=250>>250 not 350.,GSM8_Edited/101-200.json,199,"Gary bought his first used car for $6,000.  Gary borrowed the money from his dad who said he could pay him back the full amount over 5 years.  Gary decided he would pay his dad back the full amount in 2 years.  How much more is Gary spending per month to pay the loan off in 2 years instead of 5?","A full year has 12 months. So 2 years is 2*12 = <<2*12=24>>24 months
The loan amount is $6,000 that he will repay in 24 months so 6000/24 = $<<6000/24=350>>350 per month
If he paid his dad back in 5 years that 5*12 = <<5*12=60>>60 months
$6,000 loan spread out over 60 months is 6000/60 = $<<6000/60=100>>100 per month
To pay it off in 2 years instead of 5, Gary is paying 350-100 = $<<350-100=250>>250 more per month
#### 250",Missing erroneous_line_number,manual,,,,,,,,,
"Sansa earns $5 x 3 = $<<5*3=15>>15 every day by selling three 8-inch portraits.
The price of the 16-inch portrait is $5 x 2 = $<<5*2=10>>10 each.
So, she earns $10 x 5 = $<<10*5=50>>50 every day by selling five 16-inch portraits.
Her total earnings is $50 + $15 = $<<50+15=65>>65 every day.
Therefore, the total amount she earns after 3 days is $65 x 3 = $<<65*3=195>>225.
#### 195",,computational,$50 + $15 = $<<50+15=65>>65 not 75.,GSM8_Edited/101-200.json,200,"Sansa is a famous artist, she can draw a portrait and sell it according to its size. She sells an 8-inch portrait for $5, and a 16-inch portrait for twice the price of the 8-inch portrait. If she sells three 8-inch portraits and five 16-inch portraits per day, how many does she earns every 3 days?","Sansa earns $5 x 3 = $<<5*3=15>>15 every day by selling three 8-inch portraits.
The price of the 16-inch portrait is $5 x 2 = $<<5*2=10>>10 each.
So, she earns $10 x 5 = $<<10*5=50>>50 every day by selling five 16-inch portraits.
Her total earnings is $50 + $15 = $<<50+15=75>>75 every day.
Therefore, the total amount she earns after 3 days is $75 x 3 = $<<75*3=225>>225.
#### 225",Missing erroneous_line_number,manual,,,,,,,,,
"There are 48 adults because 120 x .4 = <<120*.4=48>>48
60% of members are children because 100 - 40 = <<100-40=60>>60
There are 72 children because 120 x .6 = <<120*.6=72>>72
There are 24 more children than adults because 72 - 48 = <<72-48=24>>24
#### 24",,computational,120 x .4 = <<120*.4=48>>48 not 38.,GSM8_Edited/201_to_300.json,215,A church has 120 members. 40% are adults. The rest are children. How many children more children are there than adults?,"There are 48 adults because 120 x .4 = <<120*.4=38>>38
60% of members are children because 100 - 40 = <<100-40=60>>60
There are 72 children because 120 x .6 = <<120*.6=72>>72
There are 34 more children than adults because 72 - 38 = <<72-48=34>>34
#### 34",Missing erroneous_line_number,manual,,,,,,,,,
"Ravi has 6 + 2 = <<6+2=8>>8 quarters.
He has also 8 + 4 = <<8+4=12>>12 dimes.
A nickel is worth 5 cents so Ravi's nickels amount to 6 x 5 = <<6*5=30>>30 cents.
A quarter is worth 25 cents so his quarters amount to 8 x 25 = <<8*25=200>>200 cents.
A dime is worth 10 cents so his dimes amount to 12 x 10 = <<12*10=120>>120 cents.
therefore, Ravi has 30 + 200 + 120 = <<30+200+120=350>>350 cents.
#### 350",,computational,8 x 25 = <<8*25=200>>200 not 250.,GSM8_Edited/201_to_300.json,218,"Ravi has some coins. He has 2 more quarters than nickels and 4 more dimes than quarters. If he has 6 nickels, how much money does he have?","Ravi has 6 + 2 = <<6+2=8>>8 quarters.
He has also 8 + 4 = <<8+4=12>>12 dimes.
A nickel is worth 5 cents so Ravi's nickels amount to 6 x 5 = <<6*5=30>>30 cents.
A quarter is worth 25 cents so his quarters amount to 8 x 25 = <<8*25=250>>250 cents.
A dime is worth 10 cents so his dimes amount to 12 x 10 = <<12*10=120>>120 cents.
therefore, Ravi has 30 + 250 + 120 = <<30+250+120=400>>400 cents.
#### 400",Missing erroneous_line_number,manual,,,,,,,,,
"Joey Chestnut ate 75 hotdogs to claim the record and Lisa has eaten 20 hot dogs so far, so she still needs to eat 75-20=<<75-20=55>>55 hotdogs to tie Joey Chestnut.
Lisa has a 10 minute time period to eat the hotdogs and half the time has already passed, which means Lisa has 10/2=<<10/2=5>>5 minutes left until the competition is over.
If she needs to eat 55 hotdogs to tie Joey Chestnut and there are 5 minutes left in the competition period then she needs to eat 55/5=<<55/5=11>>11 hot dogs per minute to have a chance of tying for a win.
#### 11",,computational,75-20=<<75-20=55>>55 not 45.,GSM8_Edited/201_to_300.json,219,"Lisa is looking to attempt a World Record. She has decided to try and match Joey Chestnut's record of eating 75 full hotdogs, buns included, in 10 minutes. Halfway through the time Lisa has eaten 20 hotdogs. How many hotdogs will she have to eat per minute to at least tie Joey Chestnut's record?","Joey Chestnut ate 75 hotdogs to claim the record and Lisa has eaten 20 hot dogs so far, so she still needs to eat 75-20=<<75-20=45>>45 hotdogs to tie Joey Chestnut.
Lisa has a 10 minute time period to eat the hotdogs and half the time has already passed, which means Lisa has 10/2=<<10/2=5>>5 minutes left until the competition is over.
If she needs to eat 45 hotdogs to tie Joey Chestnut and there are 5 minutes left in the competition period then she needs to eat 45/5=<<45/5=9>>9 hot dogs per minute to have a chance of tying for a win.
#### 9",Missing erroneous_line_number,manual,,,,,,,,,
"Pages left to read: 408 - 113 = <<408-113=295>>295 pages
295/5 = <<295/5=59>>59 pages
Bekah needs to read 59 pages each day.
#### 59",,computational,408 - 113 = <<408-113=295>>295 not 285.,GSM8_Edited/201_to_300.json,222,Bekah had to read 408 pages for history class. She read 113 pages over the weekend and has 5 days left to finish her reading. How many pages will she need to read each day for 5 days to complete her assignment?,"Pages left to read: 408 - 113 = <<408-113=285>>285 pages
285/5 = <<285/5=57>>57 pages
Bekah needs to read 59 pages each day.
#### 57",Missing erroneous_line_number,manual,,,,,,,,,
"Jack earned from the brownies $3 per brownie * 4 brownies = $<<3*4=12>>12.
Jack earned from the lemon squares $2 per square * 5 squares = $<<2*5=10>>10.
He still needs to earn $50 - $12 - $10 = $<<50-12-10=28>>28.
He sells cookies for $4 each, so Jack still needs to sell $28 / $4 = <<28/4=7>>7 cookies.
#### 7",,conceptual,The cookies are $4 each and brownies are $3.,GSM8_Edited/201_to_300.json,238,"Jack is running a bake sale to help pay for his basketball team's uniforms. He's already sold 4 brownies for $3 each and 5 lemon squares for $2 each. If Jack's goal is to make $50 and he sells cookies for $4 each, how many cookies does he need to sell to reach his goal?","Jack earned from the brownies $4 per brownie * 4 brownies = $<<4*4=16>>16.
Jack earned from the lemon squares $2 per square * 5 squares = $<<2*5=10>>10.
He still needs to earn $50 - $16 - $10 = $<<50-16-10=24>>24.
He sells cookies for $3 each, so Jack still needs to sell $28 / $3 = <<28/3=8>>8 cookies.
#### 8",Missing erroneous_line_number,manual,,,,,,,,,
"From 8:00 to 11:00, Mckenna spends 11:00-8:00 = 3 hours at work
When she joins the developers in the conference room for the meeting, she spends an additional 13:00-11:00 = 2 hours at work.
So far, she has spent 3+2 = <<3+2=5>>5 hours at work.
When she works for an additional 2 hours before heading home, her total work hours become 5+2 = <<5+2=7>>7 hours
#### 7",,computational,11:00-8:00 = 3 hours not 4.,GSM8_Edited/201_to_300.json,243,"Mckenna starts her day at 8:00 a.m. She works in her office up to 11:00 a.m. then joins her team of developers at the conference room to talk about projects up to 13:00, from which she works for another two hours and then heads home. How many hours does Mckenna stay at work?","From 8:00 to 11:00, Mckenna spends 11:00-8:00 = 4 hours at work
When she joins the developers in the conference room for the meeting, she spends an additional 13:00-11:00 = 2 hours at work.
So far, she has spent 4+2 = <<4+2=6>>6 hours at work.
When she works for an additional 2 hours before heading home, her total work hours become 6+2 = <<6+2=8>>8 hours
#### 8",Missing erroneous_line_number,manual,,,,,,,,,
"Hannah's earnings from the cookies is 40 x $0.8 = $<<40*0.8=32>>32.
Her earnings from the cupcakes is 30 x $2 = $<<30*2=60>>60.
Her total earnings for the cupcakes and cookies is $32 + $60 = $<<32+60=92>>92.
The cost of 2 sets of measuring spoons is 2 x $6.5 = $<<2*6.5=13>>13.
So, Hannah has $92 - $13 = $<<92-13=79>>79.
#### 79",,conceptual,Prices of cookies and cupcakes are swapped.,GSM8_Edited/201_to_300.json,257,Hannah sold 40 pieces of cookies for $0.8 each and 30 cupcakes for $2 each. She used the money to buy 2 sets of measuring spoons for $6.5 each. How much money does she have left?,"Hannah's earnings from the cookies is 40 x $2 = $<<40*2=80>>80.
Her earnings from the cupcakes is 30 x $0.8 = $<<30*0.8=24>>24.
Her total earnings for the cupcakes and cookies is $80 + $24 = $<<80+24=104>>104.
The cost of 2 sets of measuring spoons is 2 x $6.5 = $<<2*6.5=13>>13.
So, Hannah has $104 - $13 = $<<104-13=91>>91.
#### 91",Missing erroneous_line_number,manual,,,,,,,,,
"John earned $18 / 2 = $<<18/2=9>>9 on Sunday.
In total, John made $18 + $9 + $20 = $<<18+9+20=47>>47 over the two weekends.
John needs $60 - $47 = $<<60-47=13>>13 extra to buy the pogo stick.
#### 13",,conceptual,Forgot to include the $20 he earned in the previous weekend.,GSM8_Edited/201_to_300.json,269,John earned $18 on Saturday but he only managed to earn half that amount on Sunday. He earned $20 the previous weekend. How much more money does he need to earn to give him the $60 he needs to buy a new pogo stick?,"John earned $18 / 2 = $<<18/2=9>>9 on Sunday.
In total, John made $18 + $9= $<<18+9=27>>27 over the weekend.
John needs $60 - $27 = $<<60-27=33>>33 extra to buy the pogo stick.
#### 33",Missing erroneous_line_number,manual,,,,,,,,,
"At the highest setting, it vibrates 1600*.6=<<1600*.6=960>>960 vibrations per second faster than the lowest setting
So it vibrates at 1600+960=<<1600+960=2560>>2560 vibrations per second
Matt uses it for 5 minutes so that is 5*60=<<5*60=300>>300 seconds
That means he experienced 2560*300=<<2560*300=768000>>768,000 vibrations
#### 768000",,conceptual,Forgot to add 1600 to 960 vibrations per second.,GSM8_Edited/201_to_300.json,284,"Matt buys a massager.  At the lowest setting, it vibrates at 1600 vibrations per second.  At the highest setting, it vibrates 60% faster.  Matt uses it for 5 minutes at the highest setting.  How many vibrations does he experience?","At the highest setting, it vibrates 1600*.6=<<1600*.6=960>>960 vibrations per second faster than the lowest setting
So it vibrates at 960 vibrations per second
Matt uses it for 5 minutes so that is 5*60=<<5*60=300>>300 seconds
That means he experienced 960*300=<<960*300=288000>>288,000 vibrations
#### 288000",Missing erroneous_line_number,manual,,,,,,,,,
"Bran's scholarship pays $90 x 0.30 = $<<90*0.30=27>>27 to his tuition fee.
So, the total amount he still needs to pay is $90 - $27 = $<<90-27=63>>63.
And Bran will be able to earn $15 x 3 = $<<15*3=45>>45 after working for 3 months.
Therefore, the total amount he still needs to pay is $63 - $45 = $<<63-45=18>>18.
#### 18",,conceptual,Bran's scholarship pays $90 x 0.30 = $<<90*0.30=27>>27 to his tuition fee.,GSM8_Edited/201_to_300.json,287,"Bran's tuition fee is $90. He does a part-time job that pays him $15 per month and he has a scholarship that takes care of 30% of his tuition fee. If he needs to pay his tuition fee within 3 months, how much does Bran still need to pay?","Bran's scholarship pays $90 x 0.20 = $<<90*0.20=18>>18 to his tuition fee.
So, the total amount he still needs to pay is $90 - $18 = $<<90-18=72>>72.
And Bran will be able to earn $15 x 3 = $<<15*3=45>>45 after working for 3 months.
Therefore, the total amount he still needs to pay is $72 - $45 = $<<72-45=27>>27.
#### 27",Missing erroneous_line_number,manual,,,,,,,,,
"The cheap gym cost 10*12=$<<10*12=120>>120 for monthly fees
So the total cost was 120+50=$<<120+50=170>>170
The more expensive gym cost 3*10=$<<3*10=30>>30 per month
That means the sign-up fee was 30*4=$<<30*4=120>>120
The monthly fees for the expensive gym comes out to 30*12=$<<30*12=360>>360 per year
So the total cost for the expensive gym was 360+120=$<<360+120=480>>480
So his total cost was 480+170=$<<480+170=650>>650
#### 650",,conceptual,The sign-up fee for the second gym is 4 months membership.,GSM8_Edited/201_to_300.json,288,John decides to get gym memberships so he can get in shape.  The gym close to his house is close but doesn't have everything he wants so he gets two different gym memberships.  The cheap one costs $10 a month and has a sign-up fee of $50.  The second gym is 3 times more expensive and it has a sign-up fee of 4 months membership.  How much total did he pay in the first year for gym membership?,"The cheap gym cost 10*12=$<<10*12=120>>120 for monthly fees
So the total cost was 120+50=$<<120+50=170>>170
The more expensive gym cost 3*10=$<<3*10=30>>30 per month
That means the sign-up fee was 30*3=$<<30*3=90>>90
The monthly fees for the expensive gym comes out to 30*12=$<<30*12=360>>360 per year
So the total cost for the expensive gym was 360+90=$<<360+90=450>>450
So his total cost was 450+170=$<<450+170=620>>620
#### 620",Missing erroneous_line_number,manual,,,,,,,,,
